Title,Length,Date,Time,Source,Content,Author
MEINUNG; Deutliche Energie-Mahnung an Berlin,135 words,10 June 2023,BILD,ZBILD,"['MAXIMILIAN BOTH', 'Schon lange rümpfen ausländische Politiker die Nase über die deutsche Energiewende.', 'Schwedens Vize-Regierungschefin Busch spricht jetzt Klartext, sagt voraus: Deutschland wird seine Klimaziele ohne Kernkraft nicht erreichen. Eine Botschaft, die in Berlin alle aufrütteln muss!', 'Der Umbau zur klimaneutralen Wirtschaft ist bundesweit in vollem Gange. Bis 2030 sollen 15 Millionen E-Autos auf unseren Straßen fahren, sechs Millionen Wärmepumpen unsere Häuser heizen. Der Industrieverband BDI schätzt, dass sich der Stromverbrauch der Deutschen bis 2045 verdoppeln wird.', 'Zugleich will die Ampel-Regierung am liebsten schon bis 2030 aus der Kohlekraft aussteigen. Es droht: ein Energie-Harakiri!', 'Die Bundesregierung muss daher schleunigst sagen, was ihr wirklich wichtig ist. Und genau schauen, wie andere Länder den Ausbau der erneuerbaren Energien und der Kernkraft zusammenbringen.', 'Der Umwelt zuliebe.']",MAXIMILIAN BOTH 
MEINUNG; Rechtsbruch an den Grenzen beenden!,142 words,9 June 2023,BILD,ZBILD,"['PETER TIEDE', 'Die EU-Innenminister ringen in Luxemburg um die EU-Asylpolitik - in Rom sind es Olaf Scholz und Giorgia Meloni. Und wieder melden sich die üblichen Mahner mit den üblichen Schlagworten:', '""Festung Europa""', '""Stacheldraht und Mauer""', '""Frauen und Kinder in Internierungslagern"" - das Abendland vorm Untergang.', 'Doch, was da ""droht"", ist im Kern nur die Beendigung eines andauernden Rechtsbruchs durch EU und Mitgliedstaaten:', 'Schutz der Außengrenze: Pflicht!', 'Asyl-Erstantrag im Ankunftsland: Vorschrift!', 'Einschränkung der Freizügigkeit für Migranten, über deren Status nicht entschieden ist: Rechtslage!', 'Ab- und Zurückschiebungen: Muss! Diese Regeln werden seit Jahren gebrochen. Das EU-Asylsystem ist Schrott.', 'Jetzt läuft der Reparaturversuch. Und der muss gelingen - zur Not ausgehandelt zwischen dem Sozialdemokraten Scholz und der rechten Meloni. Es geht um zu viel: unsere Freiheit und Freizügigkeit - und um die Rechtfertigung für unser Asylrecht.']",Peter Tiede
MEINUNG; Die 35-Stunden-Woche ist falsch!,152 words,6 June 2023,BILD,ZBILD,"['JAN W. SCHÄFER', 'Die Bahn gerät vollends in die Zange der Gewerkschaften. Nach den EVG-Eisenbahnern drücken nun auch die GDL-Lokführer: Sie wollen ein sattes Lohnplus - und obendrauf die 35-Stunden-Woche.', 'Das klingt wie ein 80er-Jahre-Comeback. Und geht völlig an der Realität vorbei!', 'Vor 40 Jahren herrschte Massenarbeitslosigkeit. Heute suchen Firmen händeringend Mitarbeiter, bundesweit sind 1,7 Millionen Jobs frei. Die Bahn braucht allein in diesem Jahr 2400 neue Lokführer.', 'Das heißt: Für ehrliche Arbeit müssen Chefs ihren Mitarbeitern mehr denn je anständige Löhne zahlen. Sonst gehen sie im Kampf um Fachkräfte leer aus.', 'Das heißt aber auch: Eine 35-Stunden-Woche passt nicht mehr in die Zeit! Sie ist so verkehrt wie eine Daunenjacke in der Wüste.', 'Die streikerprobten Lokführer haben zuletzt viele Sympathien bei Bahn-Kunden verspielt. Sie müssen aufpassen, dass die Stimmung nicht endgültig kippt.']",Jan W. Schäfer
MEINUNG; Arbeiten muss sich lohnen! Auch für Rentner,143 words,5 June 2023,BILD,ZBILD,"['DIRK HOEREN', '""Eine gute und verlässliche"" Rente, das hat uns die Ampel im Koalitionsvertrag versprochen. Leider ist das Gegenteil der Fall!', 'Erst lädt der Staat die gut ausgebildeten und jahrzehntelang Beschäftigten förmlich dazu ein, schon mit 63 in den Ruhestand zu gehen. Abschlagsfrei und mit extra hohen Renten.', 'Dann beklagt die Regierung den Mangel an Facharbeitern. Auch an älteren, die noch ohne Murren Überstunden schrubben, und nicht nach Work-Life-Balance fragen.', 'Sie bittet die Senioren zurück an die Werkbank. Weiterarbeiten trotz Rente! Und dann hält der Staat die Hand auf, kassiert unverschämt hohe Steuern.', 'Genau wie bei den Betriebsrenten: Erst empfiehlt die Regierung Beschäftigten, Betriebsrenten anzusparen. Dann kassiert sie darauf extra hohe Kranken- und Pflegeversicherungsbeiträge.', 'Rentenpolitik mit Hand und Fuß sieht anders aus! Zum Beispiel, dass Arbeiten und Dazuverdienen steuerlich attraktiv werden!']",Dirk Hoeren
MEINUNG; Nährboden für Verfassungs-Feinde,132 words,3 June 2023,BILD,ZBILD,"['FLORIAN KAIN', 'Die erschreckten Reaktionen der etablierten Parteien auf das Umfrage-Hoch der AfD sind so erwartbar wie wohlfeil.', 'Denn es ist klar und durch Umfragen belegt: Die Rechtsaußen haben auch deshalb so viel Zulauf, weil die aktuelle Migrationskrise nicht gelöst wird. Bundesländer und Kommunen schlagen seit Monaten Alarm, warnen vor Überlastung. Und trotzdem sträubt sich Innenministerin Nancy Faeser immer noch gegen feste Grenzkontrollen.', 'Das ist - wie schon in Sachen Heiz-Hammer - Politik, die nicht hilft, sondern die Leute im Stich lässt! Und damit leider Nährboden auch für Verfassungsfeinde ist.', 'Die Ampel-Regierung muss endlich zu einer Politik der praktischen Vernunft finden. Dann wird auch der Höhenflug der Protestpartei AfD schnell ein Ende haben. Sie hat den Bürgern doch außer dummen Parolen gar nichts anzubieten.']",Florian Kain
MEINUNG; Krieg wird für Putin zum Bumerang,135 words,31 May 2023,BILD,ZBILD,"['JULIAN RÖPCKE', 'Seit 15 Monaten terrorisiert Russland die Bevölkerung der ukrainischen Hauptstadt. Erst gestern starb erneut eine Frau bei einem russischen Drohnen-Angriff auf Kiew.', 'Diese Verbrechen kann die ukrainische Regierung nicht unbeantwortet lassen.', 'Auch wenn Kiew jede Beteiligung von sich weist: Zwölf Drohnen attackierten Moskau. Anders als bei Russlands Angriffen kam kein Zivilist zu Schaden.', 'Aber: Es herrschte Panik bei den Einwohnern nach den Explosionen über Putins Hauptstadt.', 'Damit ist klar: Die Kreml-Propaganda zieht nicht mehr! Sie hat bisher versucht, jedem Russen einzutrichtern: Der Krieg ist weit weg, hat nichts mit euch zu tun ...', 'Die Angriffe auf Moskau machen stattdessen auch dem letzten Russen klar: Wenn sie sich nicht gegen Kriegstreiber Putin auflehnen, wird der Krieg sie nicht verschonen.', 'Höchste Zeit für echten Widerstand.']",Julian Röpcke
MEINUNG; Wovor hat Habeck Angst?,158 words,25 May 2023,BILD,ZBILD,"['ROBERT SCHNEIDER', 'Früher hätten die Grünen dagegen protestiert!', 'Gegen das, was sich gestern in der gemeinsamen Sitzung der Bundestagsausschüsse für Wirtschaft/ Klima und Energie abgespielt hat. Es war nicht weniger als die radikale Beschneidung des Fragerechts von Abgeordneten der Opposition.', 'Worum geht es? Auf Beschluss der Ampel-Mehrheit durften Minister Robert Habeck und seine Staatssekretäre zu den teils skandalösen Vorgängen in der Führungsebene des Hauses (Stichwort Trauzeugen-Affäre) nicht so befragt werden, dass sie konkret auf jede Frage hätten antworten müssen.', 'Auch die Möglichkeit zu Nachfragen bestand nicht: Jede Fraktion hatte pro Thema nur eine Minute Zeit, ihre Fragen gesammelt vorzutragen. Der Minister durfte sie dann in einem Aufwasch beantworten.', 'Heißt: Habeck konnte sich aussuchen, auf welche Fragen er antwortet und welche er übergeht. Sehr bequem für einen Minister unter Druck!', 'Aber diese Bequemlichkeit hat einen Preis: Habeck wirkt dadurch schwach. Und es bleibt die Frage, wovor Habeck eigentlich so viel Angst hat?']",
MEINUNG; Habeck bleibt nur noch eine Wahl,133 words,22 May 2023,BILD,ZBILD,"['FILIPP PIATOV', 'Hört das denn niemals auf?', 'Fast bekommt man den Eindruck, dass Wirtschaftsminister Robert Habeck seine Staatssekretäre danach ausgewählt hat, wer die meisten undurchsichtigen Verbindungen familiärer und finanzieller Art hat.', 'Verstrickt? Verwandt? Verschwägert? Eingestellt!', 'Immerhin hat Habeck ein Gegenmittel gegen Filz gefunden, den er selbst ins Haus geholt hat: interne Ermittlungen, wie im Fall Graichen.', 'Habeck handelte richtig. Jetzt muss der Minister nachlegen! Sein Staatssekretär Udo Philipp machte einen Manager zum Berater, in dessen Fonds er selbst investiert hat.', 'Habeck sollte die richtigen Lehren aus dem Fall Graichen ziehen. Anstatt sich aus politischen Gründen vor seine Top-Berater zu stellen, sollte er jeden Vorgang, jede Entscheidung rückwirkend auf den Prüfstand stellen.', 'Nur so kann er das Vertrauen der Bürger in sein Ministerium zurückgewinnen.']",Filipp Piatov
MEINUNG; Pep wie Steffi!,544 words,19 May 2023,BILD,ZBILD,"['Das 4:0 gegen Real war Guardiolas Glücksmoment der Erlösung. Wie 1999 bei unserer Tennis-Königin', 'MATTHIAS BRÜGELMANN', 'Eins vorweg: Der FC Bayern hat sich im Vergleich zu Real Madrid noch gut geschlagen gegen die Fußball-Maschine Man City!', 'Es war eine ganz besondere Nacht in Manchester. Nicht nur, weil dieses 4:0 des englischen Meisters nahezu perfekt war. Sondern weil Pep Guardiola (52) nach langer, langer Zeit richtig glücklich wirkte. Seine Augen leuchteten, er kam extra aus der Kabine zurück auf den Platz, um den Jubel zu genießen - obwohl es ja erst das Halbfinale war. Er schien zu spüren, dass er das Ziel, für das er so hart arbeitet, am 10. Juni in Istanbul gegen Inter Mailand erreichen wird: den Champions-League-Sieg!', 'Als ich Pep so befreit strahlen sah, musste ich an unsere Tennis-Königin Steffi Graf (53) denken und ihre kindliche Freude nach dem sensationellen French-Open-Triumph 1999 gegen das Nr.-1-Wunderkind Martina Hingis (damals 18).', 'Steffi hatte es in Paris allen gezeigt. Wie Pep hatte sie vorher schon viele große Siege errungen, genau genommen unfassbare 21 Grand-Slam-Titel plus Olympia-Gold. Wie Pep hatte sie durch den Druck des Gewinnen-Müssens viele Jahre ihr Lachen, ihre Unbefangenheit, auf dem Platz weitestgehend verloren.', 'Beide verbindet eine Besessenheit, es perfekt zu machen. Getriebene. Beide sind 6:0-Typen. Das bringt einem Respekt ein, aber nicht immer Sympathien.', 'Gewann Steffi ein Grand-Slam-Turnier nicht, musste sie sich rechtfertigen. Gewann Pep mit Bayern (2013 bis 2016) oder Manchester City (seit 2016) nicht die Champions League, musste er sich vorhalten lassen, dass er es ja nur dank Messi bei Barcelona zweimal geschafft habe - und das sei keine Kunst gewesen. Genau wie jetzt mancher nörgeln wird, dass er sich den Erfolg für 1,2 Mrd. Euro der Scheichs zusammenkaufen konnte.', 'Wenn dann der Moment der Erlösung kommt, der Moment, in dem alles von einem abfällt, ist das Glück pur. Wie Steffi ist das Pep von Herzen zu gönnen.', 'Und was kommt danach?', 'Steffi Graf zählt zu den ganz wenigen Sport-Superstars, die es geschafft haben, auf dem Höhepunkt ihre Karriere zu beenden. Kurz nach diesem French-Open-Triumph für die Ewigkeit zog sie sich zurück. Sie war gerade 30 geworden, hatte mit Verletzungen zu kämpfen und wusste: Besser wird es nicht! Außerdem wartete ein gewisser Agassi...', 'Es wäre absurd, Pep mit 52 nahezulegen, nicht mehr als Trainer zu arbeiten. Aber falls er mit Man City in seinem siebten Jahr endlich das historische Triple gewinnt, wäre es der perfekte Zeitpunkt zu gehen. Vermutlich reizt ihn aber mehr, mit diesem Verein eine Ära in Europa zu prägen. Er kann (noch) nicht anders.', 'CHAMPIONS LEAGUE HALBFINALE', 'Inter Mailand - AC Mailand ....1:0 (2:0)', 'Man City - Real Madrid...........4:0 (1:1)', 'Hinspielergebnisse in Klammern', 'Finale: 10. Juni in Istanbul Inter Mailand - Man City', '17. Mai 2023: Völlig losgelöst bejubelt Pep Guardiola die 4:0-Gala gegen Real. Der Spanier steht zum vierten Mal in seiner Trainerkarriere im Champions-League-Finale', '5. Juni 1999: Nach ihrem Finalsieg bei den French Open gegen Martina Hingis präsentiert Steffi Graf überglücklich den Coupe Suzanne Lenglen, benannt nach der 12-maligen Grand-Slam-Siegerin', 'Fotos: ISAAC PARKIN/MANCHESTER CITY FC, THOMAS COEX/DPA ']",Matthias Brügelmann
MEINUNG; Keine Deals mit kriminellen Clans!,135 words,17 May 2023,BILD,ZBILD,"['THOMAS FISCHER', 'Dreieinhalb Jahre nach dem Juwelenklau in Sachsens Schatzkammer ist das Urteil gesprochen worden. Und freuen konnten sich nur die Remmos!', 'Butterweiche Urteile, nach einem Kuhhandel mit der Justiz, einem Geschacher wie auf einem Basar.', 'Dabei wurde nichts Geringeres als Sachsens Kronjuwelen gestohlen - ein unschätzbar wertvolles kulturhistorisches Erbe.', 'Doch die Justiz ließ sich einen unsäglichen Deal diktieren: vom Klau-Clan selbst. Der rückte von der Beute einige ramponierte Schmuckstücke wieder raus, gab halbherzige Geständnisse ab, forderte milde Strafen - und bekam sie! Was bleibt nach diesem Urteil? Die fehlende Gerechtigkeit!', 'Nach dem Dresdner Richterspruch kann nun jeder Fahrraddieb sagen: Ich gebe den Lenker und den Sattel zurück - jetzt will auch ich den Remmo-Rabatt.', 'Solche Urteile dürfen sich nicht wiederholen - stoppt die Rabatt-Schlacht in deutschen Gerichten!']",THOMAS FISCHER
MEINUNG; Mehr Bremen wagen!,134 words,16 May 2023,BILD,ZBILD,"['SEBASTIAN GEISLER', 'Die Bremen-Wahl hat gezeigt, was bei den Grünen gerade schiefläuft.', 'Die Partei, die intern so viel auf Mit- und Selbstbestimmung setzt, hat es sich im kleinsten Bundesland mit dem Gegenteil verscherzt: Sie hat immer wieder versucht, Bürger zu bevormunden. Nicht nur Hausbesitzer, sondern auch Autofahrer.', 'Die Quittung der Wähler ist konsequent!', 'Dass die grüne Spitzenkandidatin Maike Schaefer direkt die Konsequenzen zieht und hinschmeißt, verdient Respekt. Ihr Rücktritt zeigt: Für Fehler geradezustehen, ist in der Politik doch noch nicht ganz aus der Mode gekommen.', 'Im kleinen und oft verlachten Bundesland Bremen wird damit vorgemacht, was in vielen großen Ländern und in der Hauptstadt Berlin mittlerweile als völlig altbacken gilt: Verantwortung für Fehlleistungen zu übernehmen.', 'Insofern sollten Politiker in ganz Deutschland viel öfter etwas mehr Bremen wagen.']",SEBASTIAN GEISLER
